The rest is tinkering, magic, forbidden games.	rest	r e s t::0.9996042847633362	r e m a i n d e r::0.00027258225600235164	p a r t::2.571743789303582e-05	o t h e r::1.9467008314677514e-05	l a s t::1.1520760381245054e-05	w h o l e::9.123725249082781e-06	t h i r d::4.643688498617848e-06	t a l k::3.15810075335321e-06	o t h e r s::2.0219401903887047e-06	f o u r t h::1.7908955669554416e-06	m a j o r i t y::1.4832270380793489e-06	m o r e::1.4683955669170246e-06	g a m e::1.2765868859787588e-06	b a g::1.2682455690082861e-06	f i f t h::1.2671574722844525e-06	b a l a n c e::1.1852854413518799e-06	a n o t h e r::7.476649557247583e-07	f u n::6.380192871802137e-07	b e t t e r::5.797028279630467e-07	r e s u l t::5.796115942757751e-07
spin of getting its politics out there, getting its politics right.	right	r i g h t::0.9497995972633362	w r o n g::0.046840518712997437	l e f t::0.0024869563058018684	b a c k::0.00016123907698784024	c o r r e c t::0.00013234811194706708	s t r a i g h t::4.102534876437858e-05	j u s t::2.4287321139127016e-05	u p::2.351618059037719e-05	a r o u n d::2.1914453100180253e-05	g o o d::1.9437640730757266e-05	b e s t::1.5410467312904075e-05	b e t t e r::1.3772221791441552e-05	b a c k w a r d s::1.219785917783156e-05	f i r s t::1.1549383998499252e-05	s a i d::1.1294384421489667e-05	p e r f e c t::8.344237357960083e-06	d o w n::7.803429070918355e-06	'::7.778188773954753e-06	a n y w h e r e::7.731559890089557e-06	g o i n g::7.664693839615211e-06
I 've got to get them to market right away.	right	r i g h t::0.9994509816169739	s t r a i g h t::0.0005364575190469623	d i r e c t l y::3.774547167267883e-06	j u s t::1.8166157360610669e-06	# # r i g h t::1.7410396822015173e-06	a n d::1.1018794339179294e-06	,::2.954362514628883e-07	r e a l::2.7233528498982196e-07	t r u e::2.390326301338064e-07	n a t u r a l::1.9248344074185297e-07	w r o n g::1.6450263728984282e-07	-::1.378000149543368e-07	d e a d::1.3558654643475165e-07	f i r s t::1.3545549393256806e-07	n o t::1.2212724698201782e-07	n a t u r a l l y::1.1609338201878927e-07	i t::1.0967615793333607e-07	c l e a r::1.0220134782912282e-07	w a y::9.987061133642783e-08	.::9.80097709657457e-08
The compass pointed right towards this land.	right	r i g h t::0.8548571467399597	l e f t::0.10741331428289413	s t r a i g h t::0.005347773898392916	w e s t::0.004273688420653343	w r o n g::0.004196763038635254	s o u t h::0.0038291052915155888	e a s t::0.0035635812673717737	b a c k::0.002472994150593877	n o r t h::0.0017066157888621092	d o w n::0.0016433208948001266	u p::0.001269089407287538	o u t::0.0010081740329042077	f o r w a r d::0.0005638928269036114	b a c k w a r d s::0.000371939386241138	t r u e::0.00017859738727565855	b a c k w a r d::0.00016457101446576416	s o u t h e a s t::0.00016207614680752158	j u s t::0.0001563053228892386	-::0.00014372974692378193	s o u t h w e s t::0.0001197535457322374
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	r i g h t::0.9961968660354614	s t r a i g h t::0.0034267299342900515	b a c k::0.00014785067469347268	o u t::8.265316137112677e-05	w r o n g::3.603364166337997e-05	j u s t::3.547488813637756e-05	l e f t::1.2006717952317558e-05	a r o u n d::8.378316124435514e-06	d i r e c t l y::7.580952569696819e-06	p e r f e c t l y::7.023702892183792e-06	c r a z y::3.799750857069739e-06	u p::3.4954139209730783e-06	w h o l e::2.626141167638707e-06	d o w n::2.379703801125288e-06	s m a c k::2.0810812202398665e-06	t o o::1.5618048792021e-06	b a c k w a r d s::1.398841050104238e-06	c o m p l e t e l y::1.0982112144120038e-06	o v e r::8.191818210434576e-07	o f f::8.05100683010096e-07
If you take the time to work on a problem, take the time to do it right.	right	r i g h t::0.6761719584465027	w r o n g::0.29259225726127625	w e l l::0.0056099193170666695	b e t t e r::0.003478799480944872	c o r r e c t l y::0.0033812157344073057	b e s t::0.0032160538248717785	g o o d::0.0014663517940789461	c o r r e c t::0.0011469107121229172	l e f t::0.0007259127451106906	i n c o r r e c t l y::0.0006873341044411063	f a i r::0.000651540351100266	b a d::0.0005207671783864498	p r o p e r l y::0.0004689203342422843	i n c o r r e c t::0.0004580042732413858	b a d l y::0.0004559390072245151	o k a y::0.0004531452141236514	p r o p e r::0.0003002257726620883	w o r s e::0.0002727010869421065	g r e a t::0.0002577566774562001	a g a i n::0.00023271921963896602
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	r i g h t::0.999625563621521	s t r a i g h t::0.0003614567976910621	l e f t::2.6878176413447363e-06	w r o n g::2.043736913037719e-06	,::1.3792251820632373e-06	g o i n g::7.90988224252942e-07	j u s t::5.454730853671208e-07	b a c k::4.932527417622623e-07	o u t::3.8658774315081246e-07	w h o l e::3.1708597703072883e-07	d e a d::2.908318492700346e-07	r i g h t s::1.7416334685549373e-07	c r a z y::1.7147480946277938e-07	h e a d i n g::1.4887393717799569e-07	# # r i g h t::1.4246650437144126e-07	a l l::1.19205509463427e-07	i n s a n e::1.1743073002890014e-07	o n l y::1.0870183331235239e-07	u p::1.0140708894823547e-07	-::9.568343273258506e-08
My baby son started acting far more confidently and independently right after the name change to Zale.	right	r i g h t::0.9992867112159729	j u s t::0.0005136222462169826	s h o r t l y::0.00012742137187160552	s t r a i g h t::2.0435616534086876e-05	s o o n::1.623638854653109e-05	e v e n::6.0429460972954985e-06	l e f t::5.876528121007141e-06	i m m e d i a t e l y::3.865781764034182e-06	s o m e t i m e::3.3793371585488785e-06	e v e r::1.0922504998234217e-06	o n l y::8.706502967470442e-07	b a c k::7.110880915206508e-07	a n y t i m e::6.782054242648883e-07	f i r s t::6.758415906915616e-07	,::6.587405323443818e-07	y e a r s::6.41041197013692e-07	a g a i n::6.351518209157803e-07	t o o::4.945331966155209e-07	a r o u n d::4.866048470830719e-07	a l r e a d y::4.2027602376037976e-07
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	r i g h t::0.9977072477340698	j u s t::0.0010075755417346954	s t r a i g h t::0.0006047762581147254	l e f t::0.00025204787380062044	a l s o::9.643768862588331e-05	s t a r t i n g::4.0222384996013716e-05	f r e e::1.7025527995429002e-05	e v e n::1.5827323295525275e-05	a l m o s t::1.4205215848051012e-05	f a r::1.3263478649605531e-05	f i r s t::1.1072723282268271e-05	b a c k::9.871537258732133e-06	a l w a y s::8.188975698431022e-06	i m m e d i a t e l y::8.176661140169017e-06	o n l y::8.007575161173008e-06	s i m p l y::7.956427907629404e-06	n o t::7.666471901757177e-06	d i r e c t l y::7.073773758747848e-06	c o r r e c t::6.935420060472097e-06	a g a i n::6.181162916618632e-06
Stand on the platform right under him.	right	r i g h t::0.9994215965270996	j u s t::0.0004650865448638797	l e f t::3.754004865186289e-05	s t r a i g h t::3.7271074688760564e-05	,::6.457413292082492e-06	-::2.514306743250927e-06	d i r e c t l y::2.3542570488643833e-06	w r o n g::2.2811627786722966e-06	n o t::1.4966151411499595e-06	r e a l l y::1.0947559303531307e-06	a r o u n d::9.46048203331884e-07	w h o l e::9.264732057090441e-07	w a y::8.891453830983664e-07	u p::6.603712563446607e-07	...::6.47703529921273e-07	.::6.285665108407557e-07	s q u a r e::6.257088784877851e-07	b a c k::5.857688734067779e-07	s t a n d i n g::5.714011876989389e-07	a l m o s t::4.575366006065451e-07
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	r i n g::0.9966059923171997	t u b e::0.0014365672832354903	d i s c::0.0002384871622780338	b a n d::0.0002277764433529228	b o x::0.00018494107644073665	c i r c l e::0.0001283355668419972	b a l l::9.82458223006688e-05	h o o k::6.874930841149762e-05	l o o p::6.35265969322063e-05	r i n g s::4.6941251639509574e-05	b a r::4.296346378396265e-05	c y l i n d e r::3.983821807196364e-05	k e y::3.668560384539887e-05	b e l t::3.403029404580593e-05	c a r d::3.1097515602596104e-05	c o r d::2.8710679544019513e-05	l i n e::2.6874287868849933e-05	c h a i n::2.5130322683253326e-05	c h a n n e l::2.1240342903183773e-05	w a l l::1.946383599715773e-05
