The rest is tinkering, magic, forbidden games.	rest	 rest::0.9978804588317871	 remainder::0.00040010607335716486	 Rest::0.000170256505953148	 end::0.00014982586435507983	 next::0.00010325091716367751	 other::7.154226477723569e-05	 list::6.262502574827522e-05	 result::5.834489275002852e-05	 back::5.105703166918829e-05	 bottom::3.2630443456582725e-05	 future::2.218094414274674e-05	 worst::2.126458457496483e-05	 whole::1.965242699952796e-05	 world::1.777856596163474e-05	 series::1.3884505278838333e-05	 most::1.375959618599154e-05	 head::1.3460571608447935e-05	 piece::1.337602316198172e-05	 past::1.2689359209616669e-05	 last::1.2499898730311543e-05
spin of getting its politics out there, getting its politics right.	right	 right::0.997124969959259	 correct::0.001771921874023974	 wrong::0.0007079530041664839	 corrected::8.750656706979498e-05	 Right::6.598856998607516e-05	 straight::5.247703302302398e-05	 left::1.8638580513652414e-05	 correctly::1.7423606550437398e-05	 RIGHT::9.613772817829158e-06	 clear::8.63802051753737e-06	 incorrect::8.17186628410127e-06	 back::7.077740974636981e-06	 down::6.8030790316697676e-06	 done::3.9069777812983375e-06	 fixed::3.5484258660289925e-06	 better::3.439150532358326e-06	 out::2.9787390758428955e-06	 called::2.6227130547340494e-06	 rights::2.5549845759087475e-06	 perfect::2.527085371184512e-06
I 've got to get them to market right away.	right	 right::0.9999673366546631	 straight::2.0988774849683978e-05	 Right::5.4968568292679265e-06	 RIGHT::3.077035898968461e-06	right::1.207959940074943e-06	 immediately::5.781104732704989e-07	 going::2.495739579444489e-07	 correct::1.3695023426407715e-07	Right::1.0559305252400009e-07	 quickly::1.0074221989953003e-07	 just::9.380290322269502e-08	 correctly::6.996000934123003e-08	 really::6.327730517341479e-08	 clear::5.187120422078806e-08	 real::4.4506030860702595e-08	 even::4.1904151260041544e-08	 directly::3.9135251483912725e-08	 red::3.131067671802157e-08	 soon::2.5907803902214255e-08	 rights::2.304204116398978e-08
The compass pointed right towards this land.	right	 left::0.6415203213691711	 right::0.3097217381000519	 wrong::0.005190677475184202	 east::0.004585023038089275	 west::0.004366581328213215	 straight::0.003873261157423258	 back::0.003089143196120858	 south::0.0021079471334815025	 up::0.0012703525135293603	 away::0.0012690641451627016	 out::0.001170758972875774	 down::0.001120779663324356	 forward::0.0010932277655228972	 north::0.0009529475355520844	 backwards::0.0008539746631868184	 far::0.0005295026348903775	 Left::0.0005011418834328651	 directly::0.000456912734080106	 northwest::0.00045250693801790476	 opposite::0.00045211915858089924
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	 right::0.999289870262146	 straight::0.0006669785943813622	right::1.3371686691243667e-05	 directly::1.1235159945499618e-05	 Right::1.0684777407732327e-05	 RIGHT::4.872320914728334e-06	 back::7.620174642397615e-07	 immediately::7.508691055591044e-07	Right::2.0083484741917346e-07	 clear::1.4374279544426827e-07	 perfectly::1.3996938719174068e-07	 just::1.2589084974479192e-07	 really::6.715727352002432e-08	 properly::4.892645222298597e-08	 left::4.681827903141311e-08	 correctly::3.770919931866956e-08	 out::3.655305036431855e-08	 instantly::3.329672892959934e-08	 nicely::3.271149395800421e-08	 all::3.225561684416789e-08
If you take the time to work on a problem, take the time to do it right.	right	 right::0.9985263347625732	 correctly::0.0010975501500070095	 properly::0.00010130384907824919	 correct::7.431946141878143e-05	 RIGHT::3.476539859548211e-05	 wrong::2.962263533845544e-05	 Right::2.5911447664839216e-05	 straight::2.568696072557941e-05	 well::2.2909465769771487e-05	right::1.227839857165236e-05	 better::5.855928520759335e-06	 rightly::4.102540060557658e-06	 justice::3.4081251669704216e-06	 proper::1.9636875094874995e-06	 good::1.8871312477131141e-06	 just::1.8201993725597276e-06	 perfect::1.7793490769690834e-06	 again::1.6947639096542844e-06	 really::1.5586193740091403e-06	 honestly::1.4720488934472087e-06
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	 right::0.9963968396186829	 straight::0.0030261222273111343	 down::0.0002549240889493376	 through::0.00013650517212226987	 directly::4.033638469991274e-05	 up::2.4572536858613603e-05	 just::1.6870893887244165e-05	 going::1.5337996956077404e-05	 halfway::1.3169801604817621e-05	 on::1.239949961018283e-05	 even::7.752219062240329e-06	 immediately::6.25011261945474e-06	 all::5.228253485256573e-06	right::5.1158667702111416e-06	 Right::4.4808675738750026e-06	 clear::4.248412551532965e-06	 back::2.8750857836712385e-06	 out::2.3857721771491924e-06	,::2.094302317345864e-06	 way::1.585329641784483e-06
My baby son started acting far more confidently and independently right after the name change to Zale.	right	 right::0.9997506737709045	 immediately::7.384151831502095e-05	 straight::5.3965632105246186e-05	 just::3.1421786843566224e-05	right::2.2178055587573908e-05	 shortly::1.2747012988256756e-05	 correct::1.241539757756982e-05	 even::7.912279215815943e-06	 correctly::7.488181381631875e-06	 Right::5.858502845512703e-06	 directly::2.8287752229516627e-06	,::2.1522607767110458e-06	 soon::1.7822003428591415e-06	 only::8.998796943160414e-07	 going::7.378372401944944e-07	 quickly::7.18117462383816e-07	 clear::7.087068638611527e-07	 minutes::6.875275175843854e-07	 RIGHT::6.108316483732779e-07	 first::5.167160566088569e-07
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	Right::0.9612202048301697	 Right::0.0384669229388237	 right::0.00019879351020790637	right::8.474829519400373e-05	Starting::7.239437309181085e-06	Even::5.726931703975424e-06	So::2.3858383428887464e-06	Just::1.8988463352798135e-06	:::1.1544555036380189e-06	And::1.0326980373065453e-06	Beginning::8.289973152386665e-07	But::7.144400342440349e-07	,::7.030001825114596e-07	Free::6.916129109413305e-07	Red::4.3475205302456743e-07	Correct::3.5926902341998357e-07	Because::3.3084793926718703e-07	Especially::2.9676706958525756e-07	 RIGHT::2.871032052098599e-07	From::2.7253972234575485e-07
Stand on the platform right under him.	right	 right::0.9945799112319946	 just::0.001780967228114605	 directly::0.0007172258920036256	 left::0.0005992755177430809	 RIGHT::0.0003382533905096352	 straight::0.00020155083620920777	right::0.00011322151840431616	 even::8.693795098224655e-05	,::8.560422429582104e-05	 down::5.804182364954613e-05	 Right::5.439166852738708e-05	 here::4.864792572334409e-05	 exactly::4.752752647618763e-05	 immediately::3.441945227677934e-05	 going::3.357742752996273e-05	 wrong::3.087871300522238e-05	 really::2.7185631552129053e-05	 up::2.6878391508944333e-05	 in::2.661914004420396e-05	 from::2.630884227983188e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	 ring::0.9991704225540161	 circle::0.0002533276565372944	 band::0.00014613514940720052	 loop::0.0001062388691934757	ring::7.128962897695601e-05	 rim::3.434844620642252e-05	 rings::2.8639871743507683e-05	 tube::2.0860146833001636e-05	 Ring::1.843990321503952e-05	 disk::1.7654578186920844e-05	 disc::1.1822828128060792e-05	 rod::6.7153027885069605e-06	 thread::5.218494152359199e-06	 line::5.080562914372422e-06	 cell::4.588961019180715e-06	 box::4.259096840542043e-06	 sphere::3.7125130347703816e-06	 drum::3.6124706639384385e-06	 wire::3.598235934987315e-06	 wheel::2.9308966986718588e-06
