The rest is tinkering, magic, forbidden games.	rest	 rest::0.9852241277694702	 end::0.001213011215440929	 remainder::0.0009806331945583224	 Rest::0.0006458124262280762	 next::0.0006388694746419787	 list::0.0003986844385508448	 back::0.00032391215790994465	 future::0.0002588256902527064	 world::0.0002538456756155938	 result::0.00025287774042226374	 other::0.00023307010997086763	 worst::0.00017842723173089325	 bottom::0.00016652069461997598	 title::0.00014199285942595452	 story::0.0001290613872697577	 past::0.00011513713252497837	 post::0.00011147453915327787	 show::0.00010739803110482171	 last::0.00010029900295194238	 series::9.200294152833521e-05
spin of getting its politics out there, getting its politics right.	right	 right::0.9973154664039612	 correct::0.0017884308472275734	 wrong::0.000595087360125035	 corrected::0.00010957378253806382	 Right::4.61780400655698e-05	 straight::2.2070675186114386e-05	 left::1.358353256364353e-05	 correctly::1.0599193046800792e-05	 clear::8.134980816976167e-06	 incorrect::7.2761995397740975e-06	 down::7.103933057805989e-06	 back::5.250254616839811e-06	 RIGHT::4.680628080677707e-06	 fixed::3.266966359660728e-06	 even::1.9657611574075418e-06	 red::1.8264394157085917e-06	 called::1.6960326547632576e-06	 better::1.6761470078563434e-06	 perfect::1.6449740769530763e-06	 rights::1.6056550293797045e-06
I 've got to get them to market right away.	right	 right::0.9999781847000122	 straight::1.1979835107922554e-05	 Right::4.764658115163911e-06	 RIGHT::2.4220421437348705e-06	right::1.5320885040637222e-06	 immediately::3.9964933762348664e-07	Right::6.881914060841154e-08	 red::6.571904975771758e-08	 correct::6.26613783083485e-08	 going::6.128716023567904e-08	 clear::5.7754775184548635e-08	 quickly::5.6763038713825154e-08	 just::5.151936832703541e-08	 correctly::4.781586682156558e-08	 really::2.5087135924195536e-08	 real::2.2260122634065738e-08	 even::2.2137925270726555e-08	 directly::1.7518388517601124e-08	 rights::1.4557670624526509e-08	 minutes::1.0152526819240393e-08
The compass pointed right towards this land.	right	 right::0.9948520064353943	 left::0.0013888755347579718	 straight::0.0012234069872647524	right::0.00025160572840832174	 RIGHT::0.0002288215036969632	 back::0.00021985745115671307	 correct::0.00017796280735637993	 Right::0.00013064988888800144	 directly::9.755473001860082e-05	 east::8.977089601103216e-05	 correctly::7.489752897527069e-05	 wrong::5.733158832299523e-05	 red::5.115201201988384e-05	 only::4.3024803744629025e-05	 north::3.6548815842252225e-05	 down::3.572076093405485e-05	,::2.8419979571481235e-05	 up::2.4451774152112193e-05	 out::2.3580614652018994e-05	 away::2.3056854843162e-05
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	 right::0.9996570348739624	 straight::0.0003143120848108083	right::1.0513602319406345e-05	 Right::6.531381586682983e-06	 directly::6.401498922059545e-06	 RIGHT::3.2318623652827227e-06	 immediately::5.127329245624423e-07	 back::3.9492820747000223e-07	 perfectly::1.2959493744801875e-07	Right::1.1337868954797159e-07	 just::9.985957660774147e-08	 clear::6.714480349501173e-08	 really::5.091366972465039e-08	 correctly::3.388044689245362e-08	 properly::2.763675510664143e-08	 all::1.9474802215313503e-08	 nicely::1.8625462061550024e-08	 constantly::1.8507607890683175e-08	 gently::1.8447799732257408e-08	 perfect::1.8182763739105212e-08
If you take the time to work on a problem, take the time to do it right.	right	 right::0.9994342923164368	 correctly::0.00041611967026256025	 correct::3.7734567740699276e-05	 properly::3.541003025020473e-05	 straight::1.5880990758887492e-05	 RIGHT::1.0738895980466623e-05	 Right::9.652262633608188e-06	 wrong::8.989298294181935e-06	 well::6.129771463747602e-06	right::6.049916919437237e-06	 better::2.378916860834579e-06	 rightly::2.2174831428856123e-06	 justice::1.7469247950430145e-06	 just::1.4605236628995044e-06	 perfect::9.002815204439685e-07	 really::7.317450467780873e-07	 proper::6.596696380256617e-07	 good::6.186747327774356e-07	 again::5.208208904150524e-07	 honestly::5.130490876581462e-07
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	 right::0.9973806738853455	 straight::0.002412821166217327	 down::7.89816549513489e-05	 through::4.913032898912206e-05	 directly::1.9091736248810776e-05	 up::7.937184818729293e-06	 just::7.340331649174914e-06	 going::6.295305865933187e-06	right::5.375302407628624e-06	 clear::4.906943104288075e-06	 halfway::4.903107310383348e-06	 immediately::2.907156613218831e-06	 Right::2.6755992621474434e-06	 even::2.0669319837907096e-06	 all::1.9388974124012748e-06	 on::1.3191450989324949e-06	 back::8.997692475531949e-07	,::7.702052471358911e-07	 out::5.24467509421811e-07	 way::4.977857770427363e-07
My baby son started acting far more confidently and independently right after the name change to Zale.	right	 right::0.9999582767486572	 straight::1.1959185940213501e-05	right::1.0950969226541929e-05	 immediately::6.4886180553003214e-06	 just::2.903013182731229e-06	 Right::2.694477643672144e-06	 correct::2.492364728823304e-06	 correctly::1.1578109706533724e-06	 even::8.388790888602671e-07	 shortly::4.3298575747030554e-07	 directly::2.273910979511129e-07	 clear::1.5890542215402093e-07	,::1.5804579334144364e-07	Right::1.2735914367567602e-07	 RIGHT::8.288539987688637e-08	 minutes::7.953682512606974e-08	 going::6.935698593224515e-08	 first::5.3116309572942555e-08	 perfect::4.776468998102246e-08	 only::4.733390213118582e-08
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	 Right::0.9958523511886597	Right::0.00413596211001277	 right::7.559138339274796e-06	 RIGHT::6.043312055226124e-07	 Even::5.252302912595042e-07	 Immediately::4.2101012809325766e-07	 Correct::3.95844296008363e-07	 Straight::3.840234512608731e-07	 Starting::3.70371310509654e-07	 So::2.8410786967469903e-07	 Just::1.918231191666564e-07	 And::1.7620382664063072e-07	right::1.2516284186858684e-07	 Red::8.583050714605633e-08	 But::4.5083766053721774e-08	 Because::3.773944357021719e-08	 Especially::3.356378641683477e-08	 Wrong::2.568580015349653e-08	 Rights::2.2663531495936695e-08	 Ready::1.937775273574971e-08
Stand on the platform right under him.	right	 right::0.9966456294059753	 just::0.0008394569740630686	 directly::0.0007329978398047388	 RIGHT::0.00045196342398412526	 straight::0.0002623580803629011	 left::0.0001062588271452114	right::8.726819942239672e-05	 Right::6.893114186823368e-05	 even::5.1127128244843334e-05	,::4.581026951200329e-05	 immediately::3.536305666784756e-05	 exactly::2.6414219973958097e-05	 going::1.7865444533526897e-05	 here::1.666438765823841e-05	 correct::1.5697531125624664e-05	 down::1.454557332181139e-05	 really::1.39615394800785e-05	 clear::1.391886416968191e-05	 wrong::1.3226198461779859e-05	 well::1.1956705748161767e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	 ring::0.9990450739860535	 circle::0.00029984029242768884	 band::0.00016841536853462458	 loop::0.00012667590635828674	ring::7.43406344554387e-05	 rim::4.007439929409884e-05	 rings::3.251166344853118e-05	 tube::3.1177783966995776e-05	 Ring::1.7719154129736125e-05	 disk::1.6365938790841028e-05	 disc::1.1440127309469972e-05	 rod::7.705519237788394e-06	 line::6.091063823987497e-06	 thread::5.614402198261814e-06	 box::5.158436579222325e-06	 cell::5.036184120399412e-06	 drum::4.600859483616659e-06	 sphere::4.14164105677628e-06	 wire::4.08604864787776e-06	 plate::3.233619509046548e-06
