The rest is tinkering, magic, forbidden games.	rest	rest::0.984046995639801	whole::0.0030135835986584425	end::0.0011388725833967328	best::0.0011297770543023944	remainder::0.0009309757151640952	most::0.0008351454162038863	Rest::0.00048301328206434846	majority::0.000423421646701172	all::0.0004155837232246995	game::0.0004081866063643247	world::0.0002531087666284293	rest::0.00020775727170985192	part::0.0001774481643224135	lot::0.00017473574553150684	other::0.00016078140470199287	last::0.00013751626829616725	past::0.0001356469001621008	entire::0.0001349424128420651	total::0.0001209735928568989	result::0.0001043132069753483
spin of getting its politics out there, getting its politics right.	right	right::0.9953323006629944	correct::0.002506636781617999	wrong::0.0002514968509785831	better::0.00016815408889669925	good::0.0001390986581100151	Right::0.0001227719330927357	RIGHT::9.85650040092878e-05	straight::6.724523700540885e-05	ready::6.457125709857792e-05	right::4.9812930228654295e-05	done::4.847652235184796e-05	up::4.323201937950216e-05	together::3.442670640652068e-05	rights::3.2299594749929383e-05	real::2.8054451831849292e-05	about::2.6201349101029336e-05	over::2.5007224394357763e-05	corrected::2.124133607139811e-05	on::1.802426231733989e-05	clear::1.688211523287464e-05
I 've got to get them to market right away.	right	right::0.9997517466545105	RIGHT::6.875576946185902e-05	Right::5.7540157285984606e-05	right::3.849970016744919e-05	straight::3.386071330169216e-05	real::3.02989678857557e-06	Right::2.641493438204634e-06	rite::2.6344894195062807e-06	way::1.7713796296447981e-06	just::1.4703525721415645e-06	rights::1.124682398767618e-06	fast::1.1049336308133206e-06	put::1.061874968399934e-06	like::1.0534264447414898e-06	today::1.0084049790748395e-06	it::8.803386322142615e-07	really::7.980031568877166e-07	,::7.782071520523459e-07	correct::7.46319074096391e-07	hard::6.909541525601526e-07
The compass pointed right towards this land.	right	right::0.9570016860961914	left::0.025477170944213867	RIGHT::0.00356478663161397	wrong::0.003345231991261244	straight::0.0021604292560368776	up::0.0004815570136997849	Right::0.00030622471240349114	west::0.00021761353127658367	back::0.0002152103988919407	north::0.00020959005632903427	down::0.00019706747843883932	east::0.00019676625379361212	out::0.00015437998808920383	backwards::0.00015264777175616473	away::0.00013463926734402776	correct::0.00013177294749766588	off::0.00011015756172128022	right::0.00010379577724961564	over::0.00010159655357711017	just::9.546370711177588e-05
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	right::0.9993621706962585	straight::0.0005947138415649533	right::1.3512697478290647e-05	RIGHT::1.1331791029078886e-05	Right::5.284628514345968e-06	directly::3.3198020901181735e-06	correct::1.2724105999950552e-06	direct::9.010394137476396e-07	just::5.439435426524142e-07	back::4.762819969528209e-07	hard::4.1147131923935376e-07	Right::4.0019543234848243e-07	rights::3.971932187596394e-07	left::3.788006210925232e-07	clear::3.5438046097624465e-07	up::2.4404735654570686e-07	way::2.2750839434593217e-07	round::2.209212510706493e-07	completely::2.0891523888622032e-07	over::1.3391682784913428e-07
If you take the time to work on a problem, take the time to do it right.	right	right::0.9993107318878174	RIGHT::0.00014454303891398013	well::0.00012640350905712694	Right::0.0001054297317750752	correctly::9.819112165132537e-05	correct::4.3354848457966e-05	good::4.139126758673228e-05	properly::2.786425466183573e-05	right::2.043552194663789e-05	better::1.5133764463826083e-05	wrong::1.1979102055192925e-05	best::4.8809147301653866e-06	rightly::4.293186066206545e-06	hard::3.0870446607877966e-06	straight::2.285231630594353e-06	Right::1.8213407884104527e-06	proper::1.7227407624886837e-06	really::1.6166252407856518e-06	real::1.5328805602621287e-06	over::1.3742538840233465e-06
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	right::0.9998493194580078	straight::0.0001361321919830516	right::9.926639904733747e-06	Right::2.0554132333927555e-06	RIGHT::3.2320139098374057e-07	Right::2.831957317539491e-07	hard::2.661484472810116e-07	correct::2.349540153545604e-07	rights::1.2563477014282398e-07	way::8.571370813115209e-08	sort::7.843778604410545e-08	clear::6.244499672902748e-08	,::5.94158819922086e-08	even::5.516346135436834e-08	directly::5.064073249627654e-08	cut::3.604016285407852e-08	back::3.475255994089821e-08	direct::3.336974074841237e-08	ight::3.317618180176396e-08	kind::2.957670020009573e-08
My baby son started acting far more confidently and independently right after the name change to Zale.	right	right::0.9985727071762085	RIGHT::0.0012379016261547804	right::5.6091928854584694e-05	just::4.368527152109891e-05	Right::3.4503231290727854e-05	straight::1.8538903532316908e-05	immediately::7.886634193710051e-06	Right::1.9926389995816862e-06	shortly::1.992327497646329e-06	only::1.1629790606093593e-06	correct::1.1188484450030955e-06	rights::1.0685987490433035e-06	left::9.87790940598643e-07	directly::9.227653094967536e-07	way::8.249933785009489e-07	,::6.031039561094076e-07	even::5.365140509638877e-07	Monday::4.536934170573659e-07	back::4.290128003958671e-07	soon::4.2619413420652563e-07
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	Right::0.338724285364151	right::0.30508407950401306	Right::0.20567093789577484	right::0.04616353660821915	And::0.013676141388714314	,::0.011901543475687504	way::0.0038231208454817533	And::0.00324329175055027	and::0.003185465931892395	Even::0.0025720440316945314	Just::0.002126921433955431	But::0.0020907858852297068	.::0.0019390826346352696	So::0.0018445771420374513	:::0.0017553337384015322	time::0.0015112078981474042	Because::0.0014928554883226752	and::0.0014270816463977098	RIGHT::0.0013486723182722926	way::0.0012372289784252644
Stand on the platform right under him.	right	right::0.8231342434883118	left::0.13772334158420563	just::0.017549816519021988	directly::0.0028932641725987196	RIGHT::0.0022116757463663816	straight::0.0008944777655415237	immediately::0.0005450652097351849	,::0.0004430858534760773	Right::0.0003585030499380082	up::0.00029815768357366323	from::0.00029713011463172734	next::0.0002782943774946034	Left::0.0002575432590674609	center::0.00025214412016794086	down::0.00024657772155478597	far::0.00022088250261731446	back::0.00021939528232906014	again::0.00017882765678223222	exactly::0.00017068216402549297	going::0.00016278530529234558
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	ring::0.9999953508377075	band::2.928195954154944e-06	Ring::7.443426284226007e-07	rings::3.7919824080745457e-07	ring::1.1869897065253099e-07	circle::1.0027382302268961e-07	rib::5.7869783631758764e-08	ball::4.850757306940068e-08	pin::4.589259461340589e-08	round::3.4910048185565756e-08	tyre::2.2704794488959124e-08	bell::2.2457058435065846e-08	box::1.690782092111931e-08	tube::1.5372446426908937e-08	bond::1.2308505326075192e-08	hook::1.1838372948602682e-08	wire::1.0863667299076951e-08	metal::9.577064474797226e-09	frame::7.544358027189446e-09	Ring::6.503221072762244e-09
