The rest is tinkering, magic, forbidden games.	rest	r e s t::0.9638481140136719	o t h e r::0.011919813230633736	t h i r d::0.0028346783947199583	r e m a i n d e r::0.0020854617469012737	s e c o n d::0.0020382110960781574	w h o l e::0.0015435295645147562	l a s t::0.0014137462712824345	f o u r t h::0.0007975415210239589	o t h e r s::0.0007393170380964875	p a r t::0.0005737842875532806	m o s t::0.0005228141089901328	f i f t h::0.0003818161494564265	s i x t h::0.0003681404341477901	s e v e n t h::0.0003479349543340504	b a l a n c e::0.0002718841133173555	f i r s t::0.0002235937281511724	g a m e::0.0002234786079498008	m o r e::0.00022006047947797924	l o t::0.000159890201757662	m a g i c::0.00015077456191647798
spin of getting its politics out there, getting its politics right.	right	r i g h t::0.8343412280082703	w r o n g::0.14636379480361938	s t r a i g h t::0.0026364082004874945	c o r r e c t::0.0024097664281725883	o u t::0.0009294278570450842	d o w n::0.0005054238135926425	l e f t::0.0005028540617786348	g o o d::0.0005023268167860806	g o i n g::0.00044634813093580306	b a c k::0.0004179018724244088	d o n e::0.0003639830683823675	u p::0.00032810159609653056	f a i r::0.0003137257299385965	c h a n g e d::0.0002693743444979191	r e a d y::0.00024742219829931855	b e t t e r::0.0002456716902088374	t o o::0.0002308994735358283	j u s t::0.0002163375320378691	p r o p e r::0.00018913453095592558	t h e r e::0.00015772684128023684
I 've got to get them to market right away.	right	r i g h t::0.9968457818031311	s t r a i g h t::0.002807648852467537	a n d::0.00010011060658143833	-::3.430463038966991e-05	f r o m::1.6400219465140253e-05	f a r::1.4259878298616968e-05	d i r e c t l y::1.3848921298631467e-05	s a f e l y::1.3754351130046416e-05	j u s t::1.0312708582205232e-05	w e l l::9.707342542242259e-06	s o o n::7.5977432061336e-06	.::7.212653144961223e-06	,::6.916207439644495e-06	q u i c k l y::6.4395603658340406e-06	...::4.525195890892064e-06	&::2.6323589281673776e-06	f o r::2.6073194021591917e-06	s q u a r e::2.4448690965073183e-06	b y::2.28456315198855e-06	!::2.250167653983226e-06
The compass pointed right towards this land.	right	l e f t::0.6194888353347778	r i g h t::0.10475171357393265	s o u t h::0.08624672889709473	e a s t::0.05326408892869949	w r o n g::0.01882881298661232	o u t::0.015777932479977608	b a c k::0.010986016131937504	d o w n::0.00995711237192154	w e s t::0.00860054511576891	n o r t h::0.004420481622219086	u p::0.003965497482568026	s t r a i g h t::0.003294543130323291	f o r w a r d::0.002667703665792942	n o r t h e a s t::0.0021743718534708023	n o t::0.0021478531416505575	f o r w a r d s::0.0020367102697491646	b a c k w a r d::0.0019203005358576775	d o w n w a r d::0.0015820180997252464	o p p o s i t e::0.0014908002922311425	s o u t h e a s t::0.0013141802046447992
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	r i g h t::0.9579886198043823	s t r a i g h t::0.03521758317947388	b a c k::0.0031763820443302393	d i r e c t l y::0.0005315070156939328	o u t::0.000498460081871599	w r o n g::0.0003741613181773573	u p::0.0003606329846661538	l e f t::0.0002910155162680894	j u s t::0.0002056105004157871	d o w n::0.00016836631402838975	w a y::7.788153743604198e-05	r o u n d::4.203493517707102e-05	o f f::3.739178282557987e-05	w e l l::3.535135692800395e-05	o n::3.223542444175109e-05	o v e r::2.302902976225596e-05	r e a l l y::2.2448926756624132e-05	b a c k w a r d s::2.1881895008846186e-05	a b o u t::1.9095286916126497e-05	t o t a l l y::1.7761747585609555e-05
If you take the time to work on a problem, take the time to do it right.	right	r i g h t::0.7113519310951233	w r o n g::0.26492324471473694	p r o p e r l y::0.0034930603578686714	w e l l::0.0025416845455765724	c o r r e c t l y::0.0024035146925598383	g o o d::0.0013329106150195003	c o r r e c t::0.001322560478001833	l e f t::0.000813827442470938	a g a i n::0.000811902224086225	y o u r s e l f::0.0006515370332635939	s t r a i g h t::0.000617228273767978	o k a y::0.0005597633426077664	b e t t e r::0.0005330485291779041	p r o p e r::0.0005262975464574993	f i r s t::0.0005014975904487073	e x a c t l y::0.00037571307620964944	j u s t::0.0003199474886059761	b e s t::0.00029618071857839823	t o o::0.00027759571094065905	p e r f e c t l y::0.00025952167925424874
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	r i g h t::0.9968750476837158	s t r a i g h t::0.002563695190474391	,::9.905765182338655e-05	j u s t::5.0230293709319085e-05	d i r e c t l y::4.876404636888765e-05	w r o n g::4.682674625655636e-05	l e f t::3.434652535361238e-05	u p::1.5139453353185672e-05	-::1.1658310540951788e-05	o n l y::1.1122983778477646e-05	s e e::9.776724255061708e-06	r e a l l y::8.859740773914382e-06	g o i n g::8.819865797704551e-06	a n d::7.311444278457202e-06	d o w n::7.095401088008657e-06	g o e s::5.915394922340056e-06	.::5.8025188991450705e-06	f o r::5.637741651298711e-06	# # s::5.309918833518168e-06	o n::5.300028078636387e-06
My baby son started acting far more confidently and independently right after the name change to Zale.	right	r i g h t::0.9933316111564636	s o o n::0.002660688478499651	s h o r t l y::0.0024123527109622955	j u s t::0.000685433333273977	l e f t::0.00020096910884603858	i m m e d i a t e l y::0.00019040096958633512	e v e r::9.516830323264003e-05	s t r a i g h t::4.6713859774172306e-05	,::2.2975251340540126e-05	e v e n::2.015213613049127e-05	n o w::1.7590302377357148e-05	d i r e c t l y::1.7457343346904963e-05	a g a i n::1.6365784176741727e-05	r e c e n t l y::1.388107739330735e-05	s i n c e::1.344051088381093e-05	l o n g::1.1180341971339658e-05	t o d a y::1.018078728520777e-05	d a y::1.0139016922039445e-05	l a t e r::9.703954674478155e-06	t h a n::9.144956493400969e-06
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	r i g h t::0.9893730282783508	l e f t::0.005369261372834444	s t r a i g h t::0.000972032081335783	s t a r t i n g::0.0008082854328677058	w r o n g::0.0003647538833320141	a n d::0.00032691977685317397	b u t::0.0002061630948446691	a l s o::0.00014694157289341092	s o::0.00012079282896593213	f r e e::9.846495231613517e-05	j u s t::8.555884414818138e-05	-::8.084480941761285e-05	c o r r e c t::7.931848813313991e-05	b e g i n n i n g::6.044322799425572e-05	b e c a u s e::5.176969716558233e-05	t h u s::5.1683564379345626e-05	u p::4.3694475607480854e-05	f o r::3.0940202123019844e-05	f r e e d o m::3.045901030418463e-05	t h a t::3.032787935808301e-05
Stand on the platform right under him.	right	r i g h t::0.9516692161560059	l e f t::0.030592670664191246	d i r e c t l y::0.004884069319814444	j u s t::0.003923348616808653	s t r a i g h t::0.0027035074308514595	,::0.0005876489449292421	w r o n g::0.0003118995518889278	c e n t e r::0.00021487343474291265	-::0.00018685181566979736	s q u a r e::0.0001665672316448763	n o t::0.0001609551691217348	d o w n::0.00013512768782675266	.::0.00013284129090607166	u p::9.802755812415853e-05	e x a c t l y::8.799930947134271e-05	f r o m::7.51662882976234e-05	a n d::6.474475958384573e-05	c o m p l e t e l y::6.001209112582728e-05	s t a n d i n g::5.8748730225488544e-05	...::5.704002978745848e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	r i n g::0.9989547729492188	r i n g s::0.0007919043418951333	c i r c l e::6.22578663751483e-05	l o o p::2.9624889066326432e-05	b o x::2.746598875091877e-05	t u b e::1.219219029735541e-05	b a n d::1.1180993169546127e-05	c o l l a r::1.055582924891496e-05	d i s c::2.1378102701419266e-06	b a r::1.7720365121931536e-06	o n e::1.7537031453684904e-06	n e t::1.7515937997814035e-06	s k i n::1.6766908856880036e-06	b a l l::1.6205466408791835e-06	h e l m e t::1.585688664818008e-06	b a g::1.4577348110833555e-06	s e a l::1.3798147620036616e-06	n e c k l a c e::1.3704942602998926e-06	c h a i n::1.3291966070028138e-06	c e l l::1.2869262491221889e-06
