The rest is tinkering, magic, forbidden games.	rest	 rest::0.9998993873596191	 best::4.5426197175402194e-05	 remainder::1.5262783563230187e-05	 end::1.2077863175363746e-05	 part::4.587528565025423e-06	 REST::3.1868657970335335e-06	 most::2.1279695374687435e-06	 Rest::1.939320327437599e-06	 past::1.6258176174233085e-06	 lot::1.051574372468167e-06	 majority::9.889713510347065e-07	 whole::9.609162816559547e-07	 start::7.279098213075486e-07	 last::6.94748678142787e-07	 balance::4.569554050704028e-07	 finish::3.993214647834975e-07	 result::3.7430874044730444e-07	 stuff::3.4832359574465954e-07	 other::3.342366596825741e-07	 return::3.149411611502728e-07
spin of getting its politics out there, getting its politics right.	right	 right::0.9958204030990601	 correct::0.0018190577393397689	 wrong::0.0002614240802358836	 RIGHT::0.00017574430967215449	 better::0.00013655585644301027	 Right::0.00010073684097733349	 ready::9.246319677913561e-05	 good::8.778349729254842e-05	 straight::8.230814273701981e-05	 done::5.9281614085193723e-05	 together::4.605019057635218e-05	 up::4.400799662107602e-05	 rights::3.831789217656478e-05	 corrected::3.4297918318770826e-05	 on::2.9259672373882495e-05	right::2.7978414436802268e-05	 over::2.514933657948859e-05	 about::2.433423105685506e-05	 in::2.2652857296634465e-05	 out::2.1457522962009534e-05
I 've got to get them to market right away.	right	 right::0.9996015429496765	 straight::0.0001464211818529293	 Right::6.688068970106542e-05	 RIGHT::5.258845703792758e-05	right::2.571653385530226e-05	 fast::5.343084012565669e-06	 real::3.7176725982135395e-06	,::3.63579442819173e-06	Right::2.969283286802238e-06	 going::2.8635604394366965e-06	 way::2.738376224442618e-06	 immediately::2.392959459029953e-06	 and::1.992661509575555e-06	 like::1.888630094981636e-06	 put::1.8086448108078912e-06	 just::1.7595709778106539e-06	 today::1.5778169881741633e-06	 first::1.5401853943330934e-06	 it::1.4975785234128125e-06	 really::1.2626857142095105e-06
The compass pointed right towards this land.	right	 right::0.9992856383323669	 left::0.00045979584683664143	 straight::6.192066211951897e-05	 RIGHT::4.459365663933568e-05	 Right::3.256697891629301e-05	right::1.1049247405026108e-05	 north::1.0171163921768311e-05	 wrong::7.0889791459194385e-06	 up::6.642860626016045e-06	 back::6.049801413610112e-06	 correct::3.7380527828645427e-06	 west::3.3933720260392874e-06	 rights::3.0431219784077257e-06	 out::2.695521970963455e-06	 backwards::2.662086444615852e-06	 east::2.531030304453452e-06	 away::2.4248747649835423e-06	 directly::2.3085945031198207e-06	 over::2.199542677772115e-06	 down::1.8098398868460208e-06
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	 right::0.9996892213821411	 straight::0.00030231644632294774	right::4.542182523437077e-06	 Right::1.1250455145273008e-06	 RIGHT::1.084458062905469e-06	 directly::7.225040121738857e-07	 just::1.1847131986542081e-07	Right::9.571215997539184e-08	 correct::9.201880857290234e-08	 direct::8.931774431175654e-08	 back::8.749066893187774e-08	 completely::6.768082982944179e-08	 hard::5.4002491367555194e-08	 rights::5.2440334741277184e-08	 clear::3.712651874820949e-08	 way::2.604853044374522e-08	 left::1.9439172049828812e-08	 up::1.811784855476617e-08	 sharp::1.2298870366578285e-08	 really::1.1662518062394156e-08
If you take the time to work on a problem, take the time to do it right.	right	 right::0.9887613654136658	 well::0.005183083936572075	 correctly::0.0020485487766563892	 properly::0.0007309984648600221	 wrong::0.00029308407101780176	 good::0.0002796307671815157	 better::0.00027899679844267666	 RIGHT::0.0002772028965409845	 Right::0.00016570861043874174	 carefully::9.472890815231949e-05	 correct::8.567516488255933e-05	 hard::7.93061190051958e-05	 over::5.8788682508748025e-05	 rightly::5.8740934036904946e-05	 best::5.612159657175653e-05	 fast::5.3263927838997915e-05	 seriously::5.245335341896862e-05	 efficiently::5.123436130816117e-05	 really::3.758867387659848e-05	right::3.1742314604343846e-05
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	 right::0.9999171495437622	 straight::6.1012695368845016e-05	right::1.606911791895982e-05	 Right::3.878852112393361e-06	Right::5.549650836655928e-07	 correct::1.5650881834972097e-07	 hard::1.1412882372496824e-07	 RIGHT::1.0242781911529164e-07	 even::7.071594865237785e-08	 sort::6.100376026552112e-08	 completely::4.9345658226229716e-08	 directly::4.818087262492554e-08	,::4.7952411819096596e-08	 rights::4.5010189353433816e-08	 way::4.043377188622799e-08	 clear::2.6447409595675708e-08	 going::2.6306642197937435e-08	t::2.159340617424732e-08	ight::2.12738839877602e-08	 direct::2.109496577418213e-08
My baby son started acting far more confidently and independently right after the name change to Zale.	right	 right::0.9999755620956421	 RIGHT::1.0393711818323936e-05	right::7.996755812200718e-06	 just::2.050378498097416e-06	 Right::1.8384733948551002e-06	 straight::1.0644164376572007e-06	 immediately::7.26406369722099e-07	Right::1.717617266194793e-07	 rights::6.649697326110982e-08	 shortly::5.115429502211555e-08	 directly::1.65746474323214e-08	 Monday::1.2467464394205763e-08	 way::1.0330135857827827e-08	 correct::8.252853511692138e-09	 like::7.603900620267723e-09	 hard::5.953998183372278e-09	 even::5.487005516613408e-09	 only::4.570873457510061e-09	 fast::3.720335151058407e-09	ight::3.461918085534421e-09
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	 Right::0.9997584223747253	Right::0.0001692940277280286	 right::4.4259119022171944e-05	 Even::5.971774044155609e-06	right::5.134556431585224e-06	 And::3.993643986177631e-06	 RIGHT::2.862906740119797e-06	 But::1.7610224176678457e-06	 Just::1.0734895568020875e-06	 Straight::9.531293017062126e-07	 Because::9.531220257485984e-07	 Correct::7.050114732010115e-07	 Starting::5.980707555863773e-07	 So::5.355552161745436e-07	 Rights::3.109278736701526e-07	 However::1.6005073177893792e-07	 From::1.368490387676502e-07	 Red::1.0245727821711625e-07	 Only::9.516429599898402e-08	 Also::9.161780667454877e-08
Stand on the platform right under him.	right	 right::0.9828107357025146	 just::0.006786255165934563	 directly::0.002908684080466628	 RIGHT::0.0011034435592591763	,::0.0006640615174546838	 left::0.0006154229049570858	 Right::0.00043076349538750947	 immediately::0.00031225019483827055	 straight::0.00027032074285671115	 from::0.0001695047685643658	 exactly::0.00010923154331976548	right::0.00010429428948555142	 and::8.99134756764397e-05	 going::8.581371366744861e-05	 standing::8.581141446484253e-05	 way::7.905589882284403e-05	 up::7.082984666340053e-05	 next::5.4982716392260045e-05	 sitting::5.015944043407217e-05	 built::4.720193464891054e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	 ring::0.9999935626983643	 band::2.3381132905342383e-06	 Ring::1.8531380874264869e-06	 rings::1.2733116818708368e-06	ring::1.7397326246282319e-07	 circle::1.3534020126826363e-07	 ball::1.1859874149422467e-07	 round::6.02988023956641e-08	 pin::6.026315446661101e-08	 tyre::3.744737853139668e-08	 box::3.6242251866269726e-08	 wire::2.765908746482637e-08	 bell::2.318942193824114e-08	 ringing::2.240678931286766e-08	 rang::1.7686055286958435e-08	 hook::1.6016770132409874e-08	 pack::1.3434992673921897e-08	 bond::1.1697708579561095e-08	 loop::1.052948928048636e-08	 rib::1.0026403707286136e-08
