The rest is tinkering, magic, forbidden games.	rest	rest::0.9838362336158752	other::0.004705202300101519	remainder::0.001966404262930155	last::0.0014781818026676774	whole::0.0010523736709728837	third::0.0009761477704159915	second::0.0005484838620759547	others::0.0004823572817258537	most::0.0003397544496692717	fourth::0.00026543770218268037	part::0.0002362160594202578	balance::0.0001661294954828918	seventh::0.0001627516612643376	final::0.00012279329530429095	more::0.00011740653280867264	fifth::0.00011728890967788175	sixth::0.0001101740199374035	latter::6.76965864840895e-05	eighth::6.416313408408314e-05	same::6.328674498945475e-05
spin of getting its politics out there, getting its politics right.	right	right::0.8489235043525696	wrong::0.1362701952457428	correct::0.002339427126571536	straight::0.0016642549308016896	out::0.0006465355982072651	down::0.0004363780317362398	left::0.0004354555276222527	good::0.0003771066549234092	going::0.0003222977975383401	back::0.00027411553310230374	changed::0.0002656314754858613	fair::0.0002574163954705	up::0.0002386786654824391	just::0.00022270288900472224	done::0.00021295170881785452	too::0.00017018485232256353	ready::0.00016525441606063396	better::0.00015205291856545955	proper::0.00011562281724764034	there::0.00010543894313741475
I 've got to get them to market right away.	right	right::0.998860239982605	straight::0.001021549804136157	and::2.2117597836768255e-05	from::1.3161002243577968e-05	just::1.057543522620108e-05	directly::6.411096364900004e-06	far::3.82874804927269e-06	safely::3.3854898902063724e-06	for::3.1310514714277815e-06	soon::2.785874585242709e-06	well::2.661981170604122e-06	-::2.634691782077425e-06	quickly::2.5366523459524615e-06	,::2.0140694232395617e-06	.::1.6353744740627008e-06	going::1.4201037856764742e-06	because::1.2247782024132903e-06	by::1.1200793323951075e-06	...::1.1157263770655845e-06	!::1.0941776054096408e-06
The compass pointed right towards this land.	right	left::0.7386778593063354	right::0.14479660987854004	south::0.025297027081251144	east::0.022601427510380745	wrong::0.015345572493970394	out::0.0066672214306890965	back::0.004945747088640928	west::0.004350218456238508	down::0.0036750677973031998	straight::0.0023452609311789274	north::0.0017383606173098087	up::0.0016830541426315904	forward::0.0011468804441392422	not::0.0011124175507575274	northeast::0.0007866326486691833	backward::0.0007568223518319428	forwards::0.0006963067571632564	opposite::0.0006508897058665752	downward::0.0005334399756975472	southeast::0.0005019544041715562
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	right::0.9766241908073425	straight::0.02085852436721325	back::0.00114652537740767	directly::0.00024932119413278997	wrong::0.0002003172558033839	out::0.00017326377565041184	up::0.00012801635602954775	just::0.00010925087553914636	left::8.420590893365443e-05	down::6.38749697827734e-05	way::2.2008509404258803e-05	round::1.5029611859063152e-05	well::1.4624521099904086e-05	really::9.131809747486841e-06	off::8.530359082215e-06	totally::7.675247616134584e-06	about::7.619687949045328e-06	good::7.303392067115055e-06	on::7.1983963607635815e-06	over::6.88988347974373e-06
If you take the time to work on a problem, take the time to do it right.	right	right::0.7696118950843811	wrong::0.2092675417661667	well::0.0022797049023211002	correctly::0.0020292093977332115	properly::0.0019854342099279165	correct::0.0014119511470198631	good::0.0012451824732124805	left::0.0009741403046064079	again::0.0009210085845552385	straight::0.000626182765699923	okay::0.0005335822934284806	yourself::0.0004841909103561193	better::0.000476060900837183	exactly::0.00046793126966804266	just::0.0004671527713071555	too::0.00035759652382694185	proper::0.0003509349189698696	best::0.00032168423058465123	perfectly::0.0002220756869064644	first::0.00021862314315512776
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	right::0.9982054233551025	straight::0.001601215684786439	directly::2.838002001226414e-05	,::2.4301980374730192e-05	wrong::2.1117974029039033e-05	just::2.058220525213983e-05	left::1.033851094689453e-05	up::6.973611561988946e-06	going::3.468652494120761e-06	really::3.4371885249129264e-06	see::3.4062923077726737e-06	only::3.275227527410607e-06	so::2.4100916107272496e-06	down::2.358783603995107e-06	for::2.2321635242406046e-06	-::2.2204540073289536e-06	rights::1.952487082235166e-06	goes::1.925361175381113e-06	trent::1.8869097857532324e-06	back::1.697693392088695e-06
My baby son started acting far more confidently and independently right after the name change to Zale.	right	right::0.9935345649719238	shortly::0.002859074156731367	soon::0.00235172500833869	just::0.0007030284614302218	left::0.00015053559036459774	immediately::0.0001355671411147341	ever::5.86419046157971e-05	straight::3.053355612792075e-05	directly::1.116328621719731e-05	again::9.504084118816536e-06	even::8.966317182057537e-06	long::7.1029658101906534e-06	,::6.803205906180665e-06	now::6.755060894647613e-06	recently::6.400487109203823e-06	day::5.643100848828908e-06	later::5.4338570407708175e-06	since::4.9629838940745685e-06	today::4.934445314574987e-06	also::4.247924607625464e-06
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	right::0.9916548728942871	left::0.005782886873930693	straight::0.0007324821781367064	wrong::0.00030358642106875777	starting::0.0002736944879870862	and::8.145577157847583e-05	free::5.615462941932492e-05	also::5.198925282456912e-05	correct::4.762582830153406e-05	but::4.33885506936349e-05	just::3.977701271651313e-05	so::3.7338297261158004e-05	beginning::2.5459785319981165e-05	up::2.2187137801665813e-05	freedom::1.8391448975307867e-05	back::1.6808597138151526e-05	-::1.6355821571778506e-05	for::1.5733516192995012e-05	thus::1.3068221051071305e-05	opposite::1.2214806702104397e-05
Stand on the platform right under him.	right	right::0.9592062830924988	left::0.029433727264404297	directly::0.002616885118186474	straight::0.0020470130257308483	just::0.0016842565964907408	center::0.0003934206033591181	wrong::0.0002532107464503497	,::0.00018755017663352191	not::0.0001454746670788154	square::0.00011826612171716988	down::9.405027230968699e-05	up::8.140063437167555e-05	standing::6.329399184323847e-05	-::6.069469964131713e-05	bottom::5.4708780226064846e-05	exactly::5.3255345846991986e-05	line::4.867690950050019e-05	really::4.85525670228526e-05	floor::4.7502628149231896e-05	still::4.628475653589703e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	ring::0.9993219375610352	rings::0.0006023308960720897	circle::2.327563561266288e-05	box::1.0920791282842401e-05	loop::7.611562068632338e-06	collar::3.6786930195376044e-06	band::3.4487534321669955e-06	tube::1.7901882074511377e-06	disc::5.775016234110808e-07	bar::5.725950131818536e-07	round::4.5511933421948925e-07	net::4.5503080059461354e-07	helmet::4.2625040919119783e-07	matrix::4.1649784066066786e-07	chain::4.148697314576566e-07	seal::3.961550874009845e-07	necklace::3.933770642561285e-07	ball::3.856555110814952e-07	cage::3.774374590648222e-07	bell::3.661397443011083e-07
The handle incorporates a wire spring gated clip, what Schrade calls a ����plunger device,���� to allow you to quickly clip or unclip the knife from a key ring.	ring	ring::0.99397212266922	rings::0.001553339883685112	chain::0.0010598395019769669	holder::0.0003498344449326396	key::0.00020179839339107275	##pad::0.00014835230831522495	lock::0.0001433669385733083	pin::0.0001276678522117436	hook::0.00011466193973319605	box::0.00011427146091591567	handle::8.165398321580142e-05	loop::7.28542436263524e-05	cell::6.181720527820289e-05	pad::6.138769822428003e-05	socket::5.454714482766576e-05	collar::5.050456820754334e-05	##ring::3.868178464472294e-05	slot::3.353640204295516e-05	##hole::3.293218833277933e-05	point::3.288420339231379e-05
There were dark rings under his eyes, and, somehow, in some indefinable manner, he seemed years older, a broken old man.	rings	rings::0.6391310095787048	circles::0.34969228506088257	shadows::0.002696247771382332	bags::0.0013824246125295758	spots::0.0010494078742340207	lines::0.0006263600080274045	patches::0.000326627487083897	veins::0.0002805578405968845	pools::0.00022469661780633032	sockets::0.00021030755306128412	lenses::0.00018686971452552825	holes::0.00016195191710721701	pits::0.000156039182911627	##inkles::0.00015595676086377352	ring::0.00013208918971940875	marks::0.00012839803821407259	ones::0.00011972168431384489	bruises::0.0001003436409519054	stones::9.157782915281132e-05	grooves::8.92898824531585e-05
This ring is open to all sites with a product or service to sell online.	ring	ring::0.9902374148368835	rings::0.0008735167793929577	rank::0.0006047490169294178	category::0.00047286879271268845	box::0.0003591397253330797	round::0.0003202230727765709	section::0.0002866412396542728	door::0.00023901378153823316	promotion::0.00017684245540294796	division::0.0001084547839127481	segment::0.00010776802082546055	set::0.00010318218119209632	tier::9.824215521803126e-05	one::9.218115883413702e-05	bar::9.164654329651967e-05	card::8.239584713010117e-05	version::7.915705646155402e-05	key::7.831151015125215e-05	list::7.811235991539434e-05	entry::7.65002696425654e-05
Try saying " give me a ring " to the next Brit you meet.	ring	ring::0.9906008243560791	rings::0.0016407360089942813	kiss::0.000583939952775836	phone::0.00031552580185234547	key::0.00022629104205407202	finger::0.00020454652258194983	necklace::0.00017796394240576774	heart::0.00016518885968253016	hand::0.00016374571714550257	call::0.00011811653530457988	day::0.00011094021465396509	hug::0.00010579701483948156	crown::0.00010191870387643576	box::9.87786625046283e-05	letter::9.550091635901481e-05	present::8.682365296408534e-05	gun::8.161983714671806e-05	song::7.838456804165617e-05	round::7.836580334696919e-05	ball::7.636496593477204e-05
Doesn't quite have the same ring to it... June 28 - M.S.S. announces that he is going to write a book about his experiences in which he will reveal details about the collapse of the Ba'athist regime.	ring	ring::0.999638557434082	rings::0.00027510552899912	ringing::2.293214129167609e-05	tone::1.527796484879218e-05	sound::2.155898073397111e-06	rang::1.9189149043086218e-06	meaning::1.5897019238764187e-06	title::1.2157067885709694e-06	beat::9.041122552844172e-07	rhythm::8.38497271615779e-07	curl::8.045475397011614e-07	set::7.527819434471894e-07	message::6.962619067962805e-07	twist::6.300306267803535e-07	feel::6.138545245448768e-07	power::5.962598947917286e-07	tang::5.712026904802769e-07	jewel::5.566441814153222e-07	mood::5.322544325281342e-07	voice::5.102747309138067e-07
The myelin sheath appears as a dark ring.	ring	ring::0.9672195315361023	band::0.006406986620277166	circle::0.003423589514568448	cell::0.001081386231817305	rings::0.0010808821534737945	diamond::0.0007226998568512499	sheath::0.0006045853951945901	star::0.0004633846110664308	patch::0.0004327473870944232	line::0.00040750205516815186	jewel::0.000332318915752694	spot::0.00029034644830971956	ball::0.0002798048371914774	dot::0.0002762737567536533	tip::0.00026951817562803626	bar::0.0002690589753910899	metal::0.0002533168881200254	disc::0.0002451361797284335	disk::0.00023283915652427822	loop::0.00021461381402332336
