The rest is tinkering, magic, forbidden games.	rest	r e s t::0.868444561958313	f u n::0.018552735447883606	w o r k::0.011579264886677265	o t h e r::0.005614199675619602	p l a y::0.004993644077330828	s t u f f::0.004419457167387009	m o r e::0.0036551894154399633	c o n t e n t::0.002910176059231162	e l s e::0.0028669345192611217	m a g i c::0.0026889792643487453	g a m e::0.002251571509987116	m u s i c::0.0022299480624496937	w h o l e::0.002226702868938446	w o r l d::0.0019281695131212473	a r t::0.0018766121938824654	t i m e::0.0015634438022971153	r e m a i n d e r::0.0014230323722586036	o t h e r s::0.0012877167901024222	t a l k::0.001093476195819676	a b o v e::0.0009424192830920219
spin of getting its politics out there, getting its politics right.	right	r i g h t::0.8523837924003601	w r o n g::0.13745012879371643	s t r a i g h t::0.0019388104556128383	c o r r e c t::0.0013413631822913885	o u t::0.0003861251170746982	d o w n::0.00027443477301858366	l e f t::0.0002370805450482294	g o o d::0.00022052251733839512	g o i n g::0.0001955926709342748	c h a n g e d::0.00019460709881968796	b a c k::0.00019230006728321314	u p::0.00017643063620198518	d o n e::0.00015513240941800177	j u s t::0.00014512884081341326	t o o::0.00012347151641733944	r e a d y::0.00011028570588678122	f a i r::0.00010616274084895849	b e t t e r::8.710060501471162e-05	w e l l::8.552923100069165e-05	b a d::7.452411227859557e-05
I 've got to get them to market right away.	right	r i g h t::0.9987596273422241	s t r a i g h t::0.0010684151202440262	a n d::5.079266338725574e-05	f r o m::2.0441577362362295e-05	j u s t::1.2081193744961638e-05	d i r e c t l y::5.4237357289821375e-06	f o r::4.201903720968403e-06	s o o n::3.9432220546586905e-06	w e l l::3.590998630897957e-06	-::2.5246345103369094e-06	f a r::2.3543650513602188e-06	,::2.3227544261317234e-06	.::1.9880401396221714e-06	s a f e l y::1.944598807313014e-06	q u i c k l y::1.929986410686979e-06	g o i n g::1.900597681014915e-06	b y::1.8794495417751023e-06	s o::1.7597631085664034e-06	!::1.4529077816405334e-06	b e c a u s e::1.4381189430423547e-06
The compass pointed right towards this land.	right	r i g h t::0.7572178840637207	l e f t::0.1505645364522934	w r o n g::0.03753972053527832	s t r a i g h t::0.008541368879377842	e a s t::0.008368873968720436	s o u t h::0.004781865514814854	w e s t::0.004740871489048004	b a c k::0.0026346591766923666	n o r t h::0.002624177373945713	d o w n::0.0025979108177125454	u p::0.0019469759427011013	o u t::0.0017499838722869754	n o t::0.0006373570649884641	f o r w a r d::0.0005820023361593485	i t::0.0005109626799821854	w a y::0.00043755018850788474	b a c k w a r d s::0.0003221643855795264	d i r e c t l y::0.00028333652880974114	n o r t h e a s t::0.0002256417355965823	j u s t::0.0002244202041765675
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	r i g h t::0.9734268188476562	s t r a i g h t::0.022400356829166412	b a c k::0.002258004155009985	d i r e c t l y::0.0002567681949585676	o u t::0.00025654351338744164	l e f t::0.00021319522056728601	w r o n g::0.0001963821705430746	u p::0.00017902177933137864	d o w n::0.00014175490650814027	j u s t::0.00010645177826518193	w a y::3.925654891645536e-05	w e l l::2.2664675270789303e-05	o n::1.6128855349961668e-05	a b o u t::1.5173392057477031e-05	b a c k w a r d s::1.4381011169461999e-05	o f f::1.4056720829103142e-05	r o u n d::1.2699225408141501e-05	o v e r::1.1106130841653794e-05	i t::1.0940538231807295e-05	t h r o u g h::1.0511173968552612e-05
If you take the time to work on a problem, take the time to do it right.	right	r i g h t::0.8740718960762024	w r o n g::0.11087626218795776	w e l l::0.0013508594129234552	g o o d::0.0011512110941112041	c o r r e c t l y::0.0008971089264377952	c o r r e c t::0.0008066665614023805	s t r a i g h t::0.0007249084883369505	p r o p e r l y::0.0007120552472770214	b e t t e r::0.0005749993142671883	o k a y::0.0005052160704508424	a g a i n::0.0003893850662279874	t o o::0.00037990621058270335	l e f t::0.00037471894756890833	j u s t::0.0003439673746470362	y o u r s e l f::0.0002659000747371465	b e s t::0.0002499496331438422	f i r s t::0.0002310567651875317	n o w::0.00016596890054643154	e x a c t l y::0.00015370486653409898	p r o p e r::0.00014554067456629127
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	r i g h t::0.9966762065887451	s t r a i g h t::0.0030268176924437284	j u s t::3.1179471989162266e-05	w r o n g::3.114790888503194e-05	d i r e c t l y::3.026938793482259e-05	,::1.884304037957918e-05	s e e::1.1161129805259407e-05	l e f t::1.0924522939603776e-05	g o i n g::7.1154781835502945e-06	u p::7.0959004005999304e-06	g o t::6.731096618750598e-06	r e a l l y::6.177655450301245e-06	s o::5.412287464423571e-06	g o e s::4.9619825404079165e-06	p u t::3.982995167461922e-06	g e t::3.5374443996261107e-06	o n::3.346171524754027e-06	g e t s::3.143296225971426e-06	o n l y::3.1087415663932916e-06	-::2.9666960017493693e-06
My baby son started acting far more confidently and independently right after the name change to Zale.	right	r i g h t::0.9964777827262878	j u s t::0.0010033975122496486	s o o n::0.0009415931417606771	s h o r t l y::0.0008925721631385386	l e f t::0.00020683581533376127	e v e r::5.5227879784069955e-05	i m m e d i a t e l y::5.448855154099874e-05	n o w::3.254988041589968e-05	s t r a i g h t::3.068991281907074e-05	,::2.4062383090495132e-05	s i n c e::1.846750637923833e-05	r e c e n t l y::1.555384005769156e-05	e v e n::1.548782347526867e-05	a g a i n::1.523761784483213e-05	l o n g::9.45882493397221e-06	w r o n g::9.09823393158149e-06	d i r e c t l y::7.5634811764757615e-06	t o d a y::6.70084136800142e-06	t o o::6.52239259579801e-06	r i g h t s::5.560349563893396e-06
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	r i g h t::0.9831827878952026	w a y::0.008492960594594479	l e f t::0.0017537468811497092	d a y::0.0013286302564665675	m o m e n t::0.0006483778706751764	,::0.0004090724978595972	s t r a i g h t::0.00035012056468985975	s t a r t i n g::0.00028433953411877155	w r o n g::0.00018550915410742164	j u s t::0.0001770425878930837	i s::0.000143649653182365	p o i n t::0.00013232087076175958	s t a r t::8.207914652302861e-05	b e g i n n i n g::7.429347897414118e-05	-::6.703943654429168e-05	t i m e::6.455080438172445e-05	l e v e l::6.0465063143055886e-05	s a m e::5.603304452961311e-05	y e a r::5.3179228416411206e-05	m i n u t e::4.600386819220148e-05
Stand on the platform right under him.	right	r i g h t::0.9636803269386292	l e f t::0.027023188769817352	d i r e c t l y::0.0019280094420537353	s t r a i g h t::0.0016549818683415651	j u s t::0.001202102517709136	,::0.00024677012697793543	c e n t e r::0.00014007709978614002	w r o n g::0.00011352155706845224	d o w n::9.574838622938842e-05	f r o m::9.128727833740413e-05	u p::8.679099846631289e-05	s t a n d i n g::8.219683513743803e-05	s q u a r e::8.105533925117925e-05	b o t t o m::6.717493670294061e-05	n o t::6.39863355900161e-05	-::6.363246939145029e-05	l i n e::4.937944686389528e-05	f l o o r::4.679826815845445e-05	.::4.5392884203465655e-05	a n d::4.400489342515357e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	r i n g::0.9991937279701233	r i n g s::0.000662194739561528	c i r c l e::3.326523437863216e-05	b o x::2.6538838937995024e-05	l o o p::1.0658217433956452e-05	t u b e::9.15992586669745e-06	b a n d::8.055209036683664e-06	c o l l a r::4.5662009142688476e-06	c h a i n::1.3903076023780159e-06	r o u n d::1.1479093018351705e-06	d i s c::1.0989126622007461e-06	c e l l::1.0694070624595042e-06	n e c k l a c e::9.788074066818808e-07	h o o p::9.175903414870845e-07	n e t::8.56463600484858e-07	o n e::8.157318802659574e-07	c a g e::7.796026011419599e-07	c o n e::7.688375944781001e-07	b a g::7.47041497106693e-07	m a t r i x::7.277722602339054e-07
