The rest is tinkering, magic, forbidden games.	rest	r e s t::0.9838362336158752	o t h e r::0.004705202300101519	r e m a i n d e r::0.001966404262930155	l a s t::0.0014781818026676774	w h o l e::0.0010523736709728837	t h i r d::0.0009761477704159915	s e c o n d::0.0005484838620759547	o t h e r s::0.0004823572817258537	m o s t::0.0003397544496692717	f o u r t h::0.00026543770218268037	p a r t::0.0002362160594202578	b a l a n c e::0.0001661294954828918	s e v e n t h::0.0001627516612643376	f i n a l::0.00012279329530429095	m o r e::0.00011740653280867264	f i f t h::0.00011728890967788175	s i x t h::0.0001101740199374035	l a t t e r::6.76965864840895e-05	e i g h t h::6.416313408408314e-05	s a m e::6.328674498945475e-05
spin of getting its politics out there, getting its politics right.	right	r i g h t::0.8489235043525696	w r o n g::0.1362701952457428	c o r r e c t::0.002339427126571536	s t r a i g h t::0.0016642549308016896	o u t::0.0006465355982072651	d o w n::0.0004363780317362398	l e f t::0.0004354555276222527	g o o d::0.0003771066549234092	g o i n g::0.0003222977975383401	b a c k::0.00027411553310230374	c h a n g e d::0.0002656314754858613	f a i r::0.0002574163954705	u p::0.0002386786654824391	j u s t::0.00022270288900472224	d o n e::0.00021295170881785452	t o o::0.00017018485232256353	r e a d y::0.00016525441606063396	b e t t e r::0.00015205291856545955	p r o p e r::0.00011562281724764034	t h e r e::0.00010543894313741475
I 've got to get them to market right away.	right	r i g h t::0.998860239982605	s t r a i g h t::0.001021549804136157	a n d::2.2117597836768255e-05	f r o m::1.3161002243577968e-05	j u s t::1.057543522620108e-05	d i r e c t l y::6.411096364900004e-06	f a r::3.82874804927269e-06	s a f e l y::3.3854898902063724e-06	f o r::3.1310514714277815e-06	s o o n::2.785874585242709e-06	w e l l::2.661981170604122e-06	-::2.634691782077425e-06	q u i c k l y::2.5366523459524615e-06	,::2.0140694232395617e-06	.::1.6353744740627008e-06	g o i n g::1.4201037856764742e-06	b e c a u s e::1.2247782024132903e-06	b y::1.1200793323951075e-06	...::1.1157263770655845e-06	!::1.0941776054096408e-06
The compass pointed right towards this land.	right	l e f t::0.7386778593063354	r i g h t::0.14479660987854004	s o u t h::0.025297027081251144	e a s t::0.022601427510380745	w r o n g::0.015345572493970394	o u t::0.0066672214306890965	b a c k::0.004945747088640928	w e s t::0.004350218456238508	d o w n::0.0036750677973031998	s t r a i g h t::0.0023452609311789274	n o r t h::0.0017383606173098087	u p::0.0016830541426315904	f o r w a r d::0.0011468804441392422	n o t::0.0011124175507575274	n o r t h e a s t::0.0007866326486691833	b a c k w a r d::0.0007568223518319428	f o r w a r d s::0.0006963067571632564	o p p o s i t e::0.0006508897058665752	d o w n w a r d::0.0005334399756975472	s o u t h e a s t::0.0005019544041715562
The clever little fella made a web near the back light so when all the moths circle the light they just fly right into his web.	right	r i g h t::0.9766241908073425	s t r a i g h t::0.02085852436721325	b a c k::0.00114652537740767	d i r e c t l y::0.00024932119413278997	w r o n g::0.0002003172558033839	o u t::0.00017326377565041184	u p::0.00012801635602954775	j u s t::0.00010925087553914636	l e f t::8.420590893365443e-05	d o w n::6.38749697827734e-05	w a y::2.2008509404258803e-05	r o u n d::1.5029611859063152e-05	w e l l::1.4624521099904086e-05	r e a l l y::9.131809747486841e-06	o f f::8.530359082215e-06	t o t a l l y::7.675247616134584e-06	a b o u t::7.619687949045328e-06	g o o d::7.303392067115055e-06	o n::7.1983963607635815e-06	o v e r::6.88988347974373e-06
If you take the time to work on a problem, take the time to do it right.	right	r i g h t::0.7696118950843811	w r o n g::0.2092675417661667	w e l l::0.0022797049023211002	c o r r e c t l y::0.0020292093977332115	p r o p e r l y::0.0019854342099279165	c o r r e c t::0.0014119511470198631	g o o d::0.0012451824732124805	l e f t::0.0009741403046064079	a g a i n::0.0009210085845552385	s t r a i g h t::0.000626182765699923	o k a y::0.0005335822934284806	y o u r s e l f::0.0004841909103561193	b e t t e r::0.000476060900837183	e x a c t l y::0.00046793126966804266	j u s t::0.0004671527713071555	t o o::0.00035759652382694185	p r o p e r::0.0003509349189698696	b e s t::0.00032168423058465123	p e r f e c t l y::0.0002220756869064644	f i r s t::0.00021862314315512776
Everyone in business is guilty of wasting time, be they the receptionist right through to the CEO.	right	r i g h t::0.9982054233551025	s t r a i g h t::0.001601215684786439	d i r e c t l y::2.838002001226414e-05	,::2.4301980374730192e-05	w r o n g::2.1117974029039033e-05	j u s t::2.058220525213983e-05	l e f t::1.033851094689453e-05	u p::6.973611561988946e-06	g o i n g::3.468652494120761e-06	r e a l l y::3.4371885249129264e-06	s e e::3.4062923077726737e-06	o n l y::3.275227527410607e-06	s o::2.4100916107272496e-06	d o w n::2.358783603995107e-06	f o r::2.2321635242406046e-06	-::2.2204540073289536e-06	r i g h t s::1.952487082235166e-06	g o e s::1.925361175381113e-06	t r e n t::1.8869097857532324e-06	b a c k::1.697693392088695e-06
My baby son started acting far more confidently and independently right after the name change to Zale.	right	r i g h t::0.9935345649719238	s h o r t l y::0.002859074156731367	s o o n::0.00235172500833869	j u s t::0.0007030284614302218	l e f t::0.00015053559036459774	i m m e d i a t e l y::0.0001355671411147341	e v e r::5.86419046157971e-05	s t r a i g h t::3.053355612792075e-05	d i r e c t l y::1.116328621719731e-05	a g a i n::9.504084118816536e-06	e v e n::8.966317182057537e-06	l o n g::7.1029658101906534e-06	,::6.803205906180665e-06	n o w::6.755060894647613e-06	r e c e n t l y::6.400487109203823e-06	d a y::5.643100848828908e-06	l a t e r::5.4338570407708175e-06	s i n c e::4.9629838940745685e-06	t o d a y::4.934445314574987e-06	a l s o::4.247924607625464e-06
Right from the beginning of training, a dog should never be permitted to ignore a command or fail to carry it out completely.	Right	r i g h t::0.9916548728942871	l e f t::0.005782886873930693	s t r a i g h t::0.0007324821781367064	w r o n g::0.00030358642106875777	s t a r t i n g::0.0002736944879870862	a n d::8.145577157847583e-05	f r e e::5.615462941932492e-05	a l s o::5.198925282456912e-05	c o r r e c t::4.762582830153406e-05	b u t::4.33885506936349e-05	j u s t::3.977701271651313e-05	s o::3.7338297261158004e-05	b e g i n n i n g::2.5459785319981165e-05	u p::2.2187137801665813e-05	f r e e d o m::1.8391448975307867e-05	b a c k::1.6808597138151526e-05	-::1.6355821571778506e-05	f o r::1.5733516192995012e-05	t h u s::1.3068221051071305e-05	o p p o s i t e::1.2214806702104397e-05
Stand on the platform right under him.	right	r i g h t::0.9592062830924988	l e f t::0.029433727264404297	d i r e c t l y::0.002616885118186474	s t r a i g h t::0.0020470130257308483	j u s t::0.0016842565964907408	c e n t e r::0.0003934206033591181	w r o n g::0.0002532107464503497	,::0.00018755017663352191	n o t::0.0001454746670788154	s q u a r e::0.00011826612171716988	d o w n::9.405027230968699e-05	u p::8.140063437167555e-05	s t a n d i n g::6.329399184323847e-05	-::6.069469964131713e-05	b o t t o m::5.4708780226064846e-05	e x a c t l y::5.3255345846991986e-05	l i n e::4.867690950050019e-05	r e a l l y::4.85525670228526e-05	f l o o r::4.7502628149231896e-05	s t i l l::4.628475653589703e-05
6. SmartKlamp (Picture of the SmartKlamp) This works in the same general way as the Tara KLamp by trapping the foreskin between an outer ring and an inner tube, and thus cutting off the blood supply to the foreskin.	ring	r i n g::0.9993219375610352	r i n g s::0.0006023308960720897	c i r c l e::2.327563561266288e-05	b o x::1.0920791282842401e-05	l o o p::7.611562068632338e-06	c o l l a r::3.6786930195376044e-06	b a n d::3.4487534321669955e-06	t u b e::1.7901882074511377e-06	d i s c::5.775016234110808e-07	b a r::5.725950131818536e-07	r o u n d::4.5511933421948925e-07	n e t::4.5503080059461354e-07	h e l m e t::4.2625040919119783e-07	m a t r i x::4.1649784066066786e-07	c h a i n::4.148697314576566e-07	s e a l::3.961550874009845e-07	n e c k l a c e::3.933770642561285e-07	b a l l::3.856555110814952e-07	c a g e::3.774374590648222e-07	b e l l::3.661397443011083e-07
The handle incorporates a wire spring gated clip, what Schrade calls a ����plunger device,���� to allow you to quickly clip or unclip the knife from a key ring.	ring	r i n g::0.99397212266922	r i n g s::0.001553339883685112	c h a i n::0.0010598395019769669	h o l d e r::0.0003498344449326396	k e y::0.00020179839339107275	# # p a d::0.00014835230831522495	l o c k::0.0001433669385733083	p i n::0.0001276678522117436	h o o k::0.00011466193973319605	b o x::0.00011427146091591567	h a n d l e::8.165398321580142e-05	l o o p::7.28542436263524e-05	c e l l::6.181720527820289e-05	p a d::6.138769822428003e-05	s o c k e t::5.454714482766576e-05	c o l l a r::5.050456820754334e-05	# # r i n g::3.868178464472294e-05	s l o t::3.353640204295516e-05	# # h o l e::3.293218833277933e-05	p o i n t::3.288420339231379e-05
There were dark rings under his eyes, and, somehow, in some indefinable manner, he seemed years older, a broken old man.	rings	r i n g s::0.6391310095787048	c i r c l e s::0.34969228506088257	s h a d o w s::0.002696247771382332	b a g s::0.0013824246125295758	s p o t s::0.0010494078742340207	l i n e s::0.0006263600080274045	p a t c h e s::0.000326627487083897	v e i n s::0.0002805578405968845	p o o l s::0.00022469661780633032	s o c k e t s::0.00021030755306128412	l e n s e s::0.00018686971452552825	h o l e s::0.00016195191710721701	p i t s::0.000156039182911627	# # i n k l e s::0.00015595676086377352	r i n g::0.00013208918971940875	m a r k s::0.00012839803821407259	o n e s::0.00011972168431384489	b r u i s e s::0.0001003436409519054	s t o n e s::9.157782915281132e-05	g r o o v e s::8.92898824531585e-05
This ring is open to all sites with a product or service to sell online.	ring	r i n g::0.9902374148368835	r i n g s::0.0008735167793929577	r a n k::0.0006047490169294178	c a t e g o r y::0.00047286879271268845	b o x::0.0003591397253330797	r o u n d::0.0003202230727765709	s e c t i o n::0.0002866412396542728	d o o r::0.00023901378153823316	p r o m o t i o n::0.00017684245540294796	d i v i s i o n::0.0001084547839127481	s e g m e n t::0.00010776802082546055	s e t::0.00010318218119209632	t i e r::9.824215521803126e-05	o n e::9.218115883413702e-05	b a r::9.164654329651967e-05	c a r d::8.239584713010117e-05	v e r s i o n::7.915705646155402e-05	k e y::7.831151015125215e-05	l i s t::7.811235991539434e-05	e n t r y::7.65002696425654e-05
